-10 -nan
-9.79798 -nan
-9.59596 -nan
-9.39394 -nan
-9.19192 -nan
-8.9899 -nan
-8.78788 -nan
-8.58586 -nan
-8.38384 -nan
-8.18182 -nan
-7.9798 -nan
-7.77778 -nan
-7.57576 -nan
-7.37374 -nan
-7.17172 -nan
-6.9697 -nan
-6.76768 -nan
-6.56566 -nan
-6.36364 -nan
-6.16162 -nan
-5.9596 -nan
-5.75758 -nan
-5.55556 -nan
-5.35354 -nan
-5.15152 -nan
-4.94949 -nan
-4.74747 -nan
-4.54545 -nan
-4.34343 -nan
-4.14141 -nan
-3.93939 -nan
-3.73737 -nan
-3.53535 -nan
-3.33333 -nan
-3.13131 -nan
-2.92929 -nan
-2.72727 -nan
-2.52525 -nan
-2.32323 -nan
-2.12121 -nan
-1.91919 -nan
-1.71717 -nan
-1.51515 -nan
-1.31313 -nan
-1.11111 -nan
-0.909091 -nan
-0.707071 -nan
-0.505051 -nan
-0.30303 -nan
-0.10101 -nan
0.10101 -nan
0.30303 -nan
0.505051 -nan
0.707071 -nan
0.909091 -nan
1.11111 -nan
1.31313 -nan
1.51515 -nan
1.71717 -nan
1.91919 -nan
2.12121 -nan
2.32323 -nan
2.52525 -nan
2.72727 -nan
2.92929 -nan
3.13131 -nan
3.33333 -nan
3.53535 -nan
3.73737 -nan
3.93939 -nan
4.14141 -nan
4.34343 -nan
4.54545 -nan
4.74747 -nan
4.94949 -nan
5.15152 -nan
5.35354 -nan
5.55556 -nan
5.75758 -nan
5.9596 -nan
6.16162 -nan
6.36364 -nan
6.56566 -nan
6.76768 -nan
6.9697 -nan
7.17172 -nan
7.37374 -nan
7.57576 -nan
7.77778 -nan
7.9798 -nan
8.18182 -nan
8.38384 -nan
8.58586 -nan
8.78788 -nan
8.9899 -nan
9.19192 -nan
9.39394 -nan
9.59596 -nan
9.79798 -nan
10 -nan
